stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
2,43,0.30701,0.90738,0.47044,0.86357,0.76736,1.0000000000000002e-06,3028.8,False
2,44,0.29558,0.90719,0.48081,0.86433,0.77006,1.0000000000000002e-06,3077.4,False
2,45,0.30323,0.90471,0.47539,0.87043,0.77188,1.0000000000000002e-06,3125.8,False
2,46,0.30131,0.90356,0.46374,0.87043,0.78245,1.0000000000000002e-07,3174.7,False
2,47,0.29981,0.90928,0.45225,0.86738,0.77074,1.0000000000000002e-07,3223.6,False
2,48,0.31533,0.90375,0.47411,0.86814,0.76781,1.0000000000000002e-07,3272.5,False
2,49,0.2796,0.911,0.48535,0.85823,0.75834,1.0000000000000002e-07,3321.0,False
2,50,0.32259,0.9028,0.48558,0.86738,0.75918,1.0000000000000002e-07,3369.6,False
2,51,0.31338,0.89899,0.48052,0.86433,0.76186,1.0000000000000002e-07,3418.0,False
2,52,0.29455,0.90985,0.46944,0.86662,0.7664,1.0000000000000002e-07,3467.1,False
2,53,0.31701,0.90223,0.46062,0.87195,0.77476,1.0000000000000002e-07,3516.0,False
2,54,0.30499,0.90414,0.47906,0.86738,0.77192,1.0000000000000002e-07,3564.2,False
2,55,0.30518,0.90833,0.47287,0.86052,0.75863,1.0000000000000002e-07,3612.3,False
2,56,0.29574,0.9068,0.48201,0.86509,0.76029,1.0000000000000002e-07,3661.0,False
2,57,0.27468,0.91424,0.48048,0.86662,0.76501,1.0000000000000002e-07,3709.5,False
2,58,0.28941,0.91405,0.45927,0.87043,0.76019,1.0000000000000002e-07,3757.9,False
2,59,0.28552,0.91366,0.47258,0.86585,0.76327,1.0000000000000002e-07,3806.7,False
2,60,0.2906,0.90966,0.46881,0.86814,0.75996,1.0000000000000002e-07,3855.6,False
2,61,0.30446,0.90738,0.46496,0.86738,0.77275,1.0000000000000002e-07,3903.6,False
2,62,0.30667,0.90452,0.4764,0.86585,0.7656,1.0000000000000002e-07,3951.7,False
2,63,0.29548,0.91214,0.46728,0.86738,0.76731,1.0000000000000002e-07,4000.5,False
2,64,0.30843,0.90642,0.47902,0.86585,0.76804,1.0000000000000002e-07,4049.1,False
2,65,0.27778,0.91824,0.46753,0.86433,0.75738,1.0000000000000002e-07,4097.6,False
2,66,0.30246,0.90909,0.46227,0.86966,0.76763,1.0000000000000002e-07,4146.0,False
2,67,0.30088,0.90947,0.46243,0.87195,0.77749,1.0000000000000002e-07,4194.5,False
2,68,0.27251,0.915,0.47682,0.86128,0.77077,1.0000000000000002e-07,4243.0,False
2,69,0.31681,0.89785,0.46287,0.86662,0.75781,1.0000000000000002e-07,4291.8,False
2,70,0.28122,0.91023,0.49281,0.86357,0.77497,1.0000000000000002e-07,4340.3,False
2,71,0.33051,0.90471,0.4616,0.87348,0.76946,1.0000000000000002e-07,4388.9,False
2,72,0.29323,0.91176,0.45471,0.86585,0.77143,1.0000000000000002e-07,4437.9,False
2,73,0.28999,0.90852,0.47017,0.86433,0.7758,1.0000000000000002e-07,4485.9,False
2,74,0.29219,0.90623,0.45871,0.86966,0.77552,1.0000000000000002e-07,4534.6,False
2,75,0.29036,0.90985,0.46818,0.86814,0.78021,1.0000000000000002e-07,4583.2,False
