test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
1039,vgg19,gradcam,0.71914,0.95858,0.37934,0.7523,True,challenging
1039,vgg19,lime,0.91261,0.94422,0.40091,0.7523,True,challenging
1039,vgg19,shap,0.71856,0.93239,0.52051,0.7523,True,challenging
1039,vgg19,random,0.66044,0.70849,0.19061,0.7523,True,challenging
1067,vgg19,gradcam,0.5119,0.16818,0.43759,0.14128,False,paper_pair
1067,vgg19,lime,0.05287,0.48663,0.33519,0.14128,False,paper_pair
1067,vgg19,shap,0.05425,0.10113,0.54434,0.14128,False,paper_pair
1067,vgg19,random,0.13797,0.07656,0.1901,0.14128,False,paper_pair
1069,vgg19,gradcam,0.4354,0.7929,0.38285,0.00943,True,class_coverage
1069,vgg19,lime,0.161,0.81992,0.46214,0.00943,True,class_coverage
1069,vgg19,shap,0.03616,0.02108,0.48022,0.00943,True,class_coverage
1069,vgg19,random,0.04326,0.02977,0.19072,0.00943,True,class_coverage
1070,vgg19,gradcam,0.19932,0.8599,0.56906,0.29784,False,rare_class
1070,vgg19,lime,0.14988,0.78854,0.30497,0.29784,False,rare_class
1070,vgg19,shap,0.09264,0.24376,0.51226,0.29784,False,rare_class
1070,vgg19,random,0.27593,0.34523,0.1896,0.29784,False,rare_class
1075,vgg19,gradcam,0.25828,0.81548,0.87886,0.01678,True,challenging
1075,vgg19,lime,0.15398,0.83818,0.65482,0.01678,True,challenging
1075,vgg19,shap,0.04738,0.60424,0.59632,0.01678,True,challenging
1075,vgg19,random,0.28382,0.32023,0.1891,0.01678,True,challenging
1076,vgg19,gradcam,0.09445,0.14516,0.64273,0.0109,False,rare_class
1076,vgg19,lime,0.03304,0.2054,0.43756,0.0109,False,rare_class
1076,vgg19,shap,0.00825,0.02883,0.53737,0.0109,False,rare_class
1076,vgg19,random,0.01443,0.01382,0.18999,0.0109,False,rare_class
1077,vgg19,gradcam,0.72432,0.61426,0.65799,2e-05,True,class_coverage
1077,vgg19,lime,0.46476,0.91823,0.32133,2e-05,True,class_coverage
1077,vgg19,shap,0.18599,0.19685,0.59734,2e-05,True,class_coverage
1077,vgg19,random,0.15585,0.15815,0.1894,2e-05,True,class_coverage
1157,vgg19,gradcam,0.22984,0.66302,0.64921,0.03395,True,class_coverage
1157,vgg19,lime,0.17381,0.86909,0.42173,0.03395,True,class_coverage
1157,vgg19,shap,0.65503,0.66984,0.57343,0.03395,True,class_coverage
1157,vgg19,random,0.66597,0.63581,0.19023,0.03395,True,class_coverage
1211,vgg19,gradcam,0.1172,0.65225,0.74032,0.00017,True,class_coverage
1211,vgg19,lime,0.05581,0.72102,0.45202,0.00017,True,class_coverage
1211,vgg19,shap,0.01035,0.23149,0.63992,0.00017,True,class_coverage
1211,vgg19,random,0.05791,0.06862,0.18951,0.00017,True,class_coverage
1377,vgg19,gradcam,0.29022,0.25153,0.6873,0.01879,False,paper_pair
1377,vgg19,lime,0.20883,0.43246,0.41187,0.01879,False,paper_pair
1377,vgg19,shap,0.04921,0.11684,0.56006,0.01879,False,paper_pair
1377,vgg19,random,0.07186,0.06361,0.19034,0.01879,False,paper_pair
1399,vgg19,gradcam,0.23031,0.62739,0.64742,0.00062,True,class_coverage
1399,vgg19,lime,0.20032,0.8131,0.45686,0.00062,True,class_coverage
1399,vgg19,shap,0.40011,0.69391,0.5244,0.00062,True,class_coverage
1399,vgg19,random,0.60631,0.59832,0.19018,0.00062,True,class_coverage
1412,vgg19,gradcam,0.11512,0.56761,0.56254,0.00092,True,class_coverage
1412,vgg19,lime,0.06175,0.5885,0.27003,0.00092,True,class_coverage
1412,vgg19,shap,0.15352,0.53307,0.55122,0.00092,True,class_coverage
1412,vgg19,random,0.26335,0.4085,0.19,0.00092,True,class_coverage
1425,vgg19,gradcam,0.71229,0.86495,0.45495,0.0479,False,paper_pair
1425,vgg19,lime,0.34626,0.90829,0.40775,0.0479,False,paper_pair
1425,vgg19,shap,0.04202,0.32756,0.57128,0.0479,False,paper_pair
1425,vgg19,random,0.23767,0.22263,0.19051,0.0479,False,paper_pair
1451,vgg19,gradcam,0.06469,0.78739,0.60406,0.08243,True,class_coverage
1451,vgg19,lime,0.08713,0.83264,0.52808,0.08243,True,class_coverage
1451,vgg19,shap,0.02563,0.48572,0.71545,0.08243,True,class_coverage
1451,vgg19,random,0.29825,0.25778,0.19035,0.08243,True,class_coverage
1458,vgg19,gradcam,0.61235,0.87707,0.47898,0.17236,True,class_coverage
1458,vgg19,lime,0.16026,0.71896,0.29457,0.17236,True,class_coverage
1458,vgg19,shap,0.17537,0.499,0.54316,0.17236,True,class_coverage
1458,vgg19,random,0.54351,0.29697,0.18982,0.17236,True,class_coverage
1468,vgg19,gradcam,0.13219,0.48036,0.39533,0.02956,False,paper_pair
1468,vgg19,lime,0.25734,0.53304,0.286,0.02956,False,paper_pair
1468,vgg19,shap,0.02604,0.0323,0.51932,0.02956,False,paper_pair
1468,vgg19,random,0.05065,0.03158,0.19081,0.02956,False,paper_pair
1478,vgg19,gradcam,0.1432,0.35406,0.54265,0.00448,False,rare_class
1478,vgg19,lime,0.05629,0.49287,0.2909,0.00448,False,rare_class
1478,vgg19,shap,0.02111,0.50371,0.65251,0.00448,False,rare_class
1478,vgg19,random,0.26404,0.1258,0.19033,0.00448,False,rare_class
1484,vgg19,gradcam,0.33926,0.89164,0.64251,0.04955,True,class_coverage
1484,vgg19,lime,0.1768,0.85606,0.58621,0.04955,True,class_coverage
1484,vgg19,shap,0.07138,0.54772,0.64229,0.04955,True,class_coverage
1484,vgg19,random,0.29985,0.16522,0.19096,0.04955,True,class_coverage
1489,vgg19,gradcam,0.67704,0.84549,0.27209,0.0572,True,class_coverage
1489,vgg19,lime,0.78214,0.6838,0.20713,0.0572,True,class_coverage
1489,vgg19,shap,0.79305,0.7511,0.56779,0.0572,True,class_coverage
1489,vgg19,random,0.7906,0.81168,0.18995,0.0572,True,class_coverage
1515,vgg19,gradcam,0.12547,0.86924,0.75626,0.00034,True,class_coverage
1515,vgg19,lime,0.14709,0.75407,0.71952,0.00034,True,class_coverage
1515,vgg19,shap,0.05129,0.97001,0.85825,0.00034,True,class_coverage
1515,vgg19,random,0.55043,0.62333,0.1894,0.00034,True,class_coverage
1565,vgg19,gradcam,0.63935,0.93029,0.4235,0.06246,True,class_coverage
1565,vgg19,lime,0.5254,0.78528,0.37019,0.06246,True,class_coverage
1565,vgg19,shap,0.27825,0.44347,0.53206,0.06246,True,class_coverage
1565,vgg19,random,0.34895,0.38344,0.19017,0.06246,True,class_coverage
