stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
2,47,0.16163,0.94911,0.61363,0.86966,0.78777,3.0624220677394862e-06,4115.6,False
2,48,0.15599,0.95159,0.64687,0.87195,0.77398,2.8711035421746377e-06,4183.2,False
2,49,0.16245,0.94911,0.61019,0.87271,0.79324,2.6835198244006933e-06,4251.9,False
2,50,0.1456,0.95674,0.61692,0.87271,0.76911,2.4999999999999998e-06,4319.8,False
2,51,0.14978,0.9514,0.5932,0.87805,0.78024,2.320866025105019e-06,4388.1,False
2,52,0.1488,0.95464,0.66631,0.86509,0.80045,2.146432161577843e-06,4456.6,False
2,53,0.1352,0.95807,0.66725,0.85518,0.74416,1.9770044256881268e-06,4524.1,False
2,54,0.14666,0.95312,0.64951,0.86585,0.78141,1.812880051256552e-06,4591.9,False
2,55,0.13448,0.95712,0.66702,0.87195,0.77631,1.6543469682057097e-06,4659.7,False
2,56,0.14386,0.95712,0.61311,0.87805,0.80101,1.501683297433173e-06,4727.8,False
2,57,0.12777,0.9596,0.65203,0.86738,0.77734,1.355156862892944e-06,4796.6,False
2,58,0.13333,0.95655,0.63298,0.87576,0.78806,1.215024721741219e-06,4864.9,False
2,59,0.13255,0.95788,0.66359,0.86204,0.78165,1.0815327133708017e-06,4932.8,False
2,60,0.15037,0.95331,0.60565,0.87881,0.7842,9.549150281252635e-07,5001.0,False
2,61,0.1337,0.95807,0.63998,0.87043,0.76553,8.35393796449503e-07,5068.6,False
2,62,0.12945,0.95864,0.61532,0.875,0.79704,7.231786991974672e-07,5136.3,False
2,63,0.1364,0.95636,0.64612,0.86585,0.79035,6.184665997806823e-07,5204.8,False
2,64,0.12073,0.96093,0.6034,0.88262,0.80107,5.214411988029368e-07,5272.5,False
2,65,0.13442,0.95636,0.61416,0.87652,0.78415,4.3227271178699634e-07,5340.8,False
2,66,0.14172,0.95617,0.63255,0.87576,0.79077,3.5111757055874333e-07,5408.9,False
2,67,0.13093,0.95845,0.60577,0.88186,0.80345,2.781181488125951e-07,5477.1,False
2,68,0.1275,0.95883,0.60837,0.87957,0.79605,2.1340251233966386e-07,5545.1,False
2,69,0.11943,0.96112,0.63194,0.87424,0.7918,1.5708419435684468e-07,5613.6,False
2,70,0.1342,0.95388,0.61272,0.87652,0.79377,1.0926199633097214e-07,5681.7,False
2,71,0.12766,0.96303,0.62468,0.87729,0.79704,7.001981464747511e-08,5749.2,False
2,72,0.11946,0.96379,0.61641,0.88415,0.80346,3.942649342761118e-08,5817.3,False
2,73,0.13597,0.95693,0.60145,0.87424,0.79251,1.7535703752478153e-08,5885.5,False
2,74,0.12697,0.95921,0.60978,0.88262,0.79843,4.385849505708084e-09,5953.1,False
2,75,0.13067,0.95826,0.60741,0.87881,0.79997,0.0,6021.2,False
