stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
2,49,0.13245,0.95979,0.28697,0.91921,0.87559,1.0000000000000004e-08,13734.2,False
2,50,0.12591,0.96055,0.2868,0.91921,0.87559,1.0000000000000004e-08,13973.2,False
2,51,0.11342,0.96455,0.28666,0.91921,0.87559,1.0000000000000004e-08,14212.0,False
2,52,0.11599,0.96455,0.28659,0.91921,0.87559,1.0000000000000004e-08,14450.7,False
2,53,0.11409,0.96493,0.28647,0.91921,0.87559,1.0000000000000004e-08,14689.7,False
2,54,0.11775,0.96303,0.2863,0.91921,0.87559,1.0000000000000004e-08,14929.0,False
2,55,0.12147,0.96265,0.28633,0.91921,0.87559,1.0000000000000004e-08,15168.3,False
2,56,0.11312,0.9636,0.28633,0.91921,0.87559,1.0000000000000004e-08,15407.4,False
2,57,0.10819,0.96703,0.28627,0.91921,0.87559,1.0000000000000004e-08,15645.9,False
2,58,0.13264,0.95807,0.28638,0.91921,0.87559,1.0000000000000004e-08,15884.1,False
2,59,0.1183,0.96169,0.28631,0.91921,0.87559,1.0000000000000004e-08,16123.8,False
2,60,0.11592,0.96398,0.28629,0.91921,0.87559,1.0000000000000004e-08,16362.5,False
2,61,0.11605,0.96245,0.28631,0.91921,0.87559,1.0000000000000004e-08,16601.1,False
2,62,0.11903,0.96074,0.28629,0.91921,0.87559,1.0000000000000004e-08,16840.1,False
2,63,0.09673,0.9697,0.28631,0.91921,0.87559,1.0000000000000004e-08,17079.5,False
2,64,0.11151,0.96493,0.28627,0.91921,0.87559,1.0000000000000004e-08,17318.0,False
2,65,0.11598,0.9655,0.28624,0.91921,0.87559,1.0000000000000004e-08,17556.2,False
2,66,0.11084,0.9636,0.28622,0.91921,0.87559,1.0000000000000004e-08,17794.8,False
2,67,0.11878,0.96265,0.28624,0.91921,0.87559,1.0000000000000004e-08,18033.3,False
2,68,0.11819,0.96379,0.28621,0.91921,0.87559,1.0000000000000004e-08,18271.3,False
2,69,0.11053,0.96493,0.28621,0.91921,0.87559,1.0000000000000004e-08,18509.5,False
2,70,0.11991,0.96341,0.28621,0.91921,0.87559,1.0000000000000004e-08,18748.1,False
2,71,0.13202,0.9575,0.28621,0.91921,0.87559,1.0000000000000004e-08,18987.6,False
2,72,0.1199,0.96322,0.28613,0.91921,0.87559,1.0000000000000004e-08,19226.5,False
2,73,0.12388,0.96017,0.28603,0.91921,0.87559,1.0000000000000004e-08,19464.5,False
2,74,0.10916,0.96131,0.28605,0.91921,0.87559,1.0000000000000004e-08,19703.3,False
2,75,0.11228,0.96589,0.28608,0.91921,0.87559,1.0000000000000004e-08,19942.2,False
