test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
1069,resnet50,random,0.13682,0.04895,0.19072,0.00401,True,class_coverage
1070,resnet50,gradcam,0.15985,0.82067,0.27009,0.00356,False,rare_class
1070,resnet50,lime,0.31094,0.53602,0.42382,0.00356,False,rare_class
1070,resnet50,shap,0.13506,0.40396,0.49606,0.00356,False,rare_class
1070,resnet50,random,0.51076,0.47911,0.1896,0.00356,False,rare_class
1075,resnet50,gradcam,0.95157,0.84799,0.17718,0.06804,True,challenging
1075,resnet50,lime,0.85158,0.77132,0.36843,0.06804,True,challenging
1075,resnet50,shap,0.02949,0.21532,0.53354,0.06804,True,challenging
1075,resnet50,random,0.176,0.15874,0.1891,0.06804,True,challenging
1076,resnet50,gradcam,0.01015,0.20553,0.32772,0.05683,False,rare_class
1076,resnet50,lime,0.02972,0.62186,0.4158,0.05683,False,rare_class
1076,resnet50,shap,0.01889,0.1056,0.59273,0.05683,False,rare_class
1076,resnet50,random,0.04041,0.06655,0.18999,0.05683,False,rare_class
1077,resnet50,gradcam,0.47065,0.91899,0.22045,0.03904,True,class_coverage
1077,resnet50,lime,0.57002,0.89164,0.26894,0.03904,True,class_coverage
1077,resnet50,shap,0.07341,0.30251,0.54575,0.03904,True,class_coverage
1077,resnet50,random,0.08072,0.09556,0.1894,0.03904,True,class_coverage
1157,resnet50,gradcam,0.60033,0.64998,0.21171,0.0194,True,class_coverage
1157,resnet50,lime,0.26618,0.75518,0.42159,0.0194,True,class_coverage
1157,resnet50,shap,0.92752,0.9536,0.50553,0.0194,True,class_coverage
1157,resnet50,random,0.92542,0.90921,0.19023,0.0194,True,class_coverage
1211,resnet50,gradcam,0.28576,0.83321,0.21217,0.02956,True,class_coverage
1211,resnet50,lime,0.28527,0.87894,0.34097,0.02956,True,class_coverage
1211,resnet50,shap,0.24548,0.69131,0.51983,0.02956,True,class_coverage
1211,resnet50,random,0.48045,0.63212,0.18951,0.02956,True,class_coverage
1377,resnet50,gradcam,0.25439,0.69242,0.17543,0.00113,False,paper_pair
1377,resnet50,lime,0.4967,0.70626,0.30384,0.00113,False,paper_pair
1377,resnet50,shap,0.05945,0.75071,0.55505,0.00113,False,paper_pair
1377,resnet50,random,0.36847,0.29234,0.19034,0.00113,False,paper_pair
1399,resnet50,gradcam,0.03914,0.42089,0.29909,0.0,True,class_coverage
1399,resnet50,lime,0.03419,0.54054,0.28713,0.0,True,class_coverage
1399,resnet50,shap,0.01009,0.92556,0.56386,0.0,True,class_coverage
1399,resnet50,random,0.44313,0.38432,0.19018,0.0,True,class_coverage
1412,resnet50,gradcam,0.58079,0.92187,0.2856,0.88684,True,class_coverage
1412,resnet50,lime,0.6132,0.94984,0.37337,0.88684,True,class_coverage
1412,resnet50,shap,0.40841,0.72344,0.5562,0.88684,True,class_coverage
1412,resnet50,random,0.54392,0.64253,0.19,0.88684,True,class_coverage
1425,resnet50,gradcam,0.6628,0.79232,0.29352,0.14983,True,paper_pair
1425,resnet50,lime,0.1776,0.7381,0.28634,0.14983,True,paper_pair
1425,resnet50,shap,0.34739,0.6492,0.51697,0.14983,True,paper_pair
1425,resnet50,random,0.5194,0.5783,0.19051,0.14983,True,paper_pair
1451,resnet50,gradcam,0.23023,0.96622,0.27869,0.05373,True,class_coverage
1451,resnet50,lime,0.53437,0.98034,0.48361,0.05373,True,class_coverage
1451,resnet50,shap,0.05981,0.43534,0.5412,0.05373,True,class_coverage
1451,resnet50,random,0.3834,0.38812,0.19035,0.05373,True,class_coverage
1458,resnet50,gradcam,0.90098,0.92733,0.20238,0.08454,True,class_coverage
1458,resnet50,lime,0.31224,0.87529,0.3808,0.08454,True,class_coverage
1458,resnet50,shap,0.11621,0.79652,0.51294,0.08454,True,class_coverage
1458,resnet50,random,0.4454,0.44293,0.18982,0.08454,True,class_coverage
1468,resnet50,gradcam,0.02346,0.70054,0.34627,0.35723,False,paper_pair
1468,resnet50,lime,0.02922,0.09109,0.21726,0.35723,False,paper_pair
1468,resnet50,shap,0.0141,0.02738,0.57777,0.35723,False,paper_pair
1468,resnet50,random,0.02407,0.03821,0.19081,0.35723,False,paper_pair
1478,resnet50,gradcam,0.03742,0.77457,0.33398,0.00177,False,rare_class
1478,resnet50,lime,0.10085,0.79129,0.35298,0.00177,False,rare_class
