stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
2,44,0.77382,0.95845,1.00396,0.86814,0.774,1.0000000000000002e-06,3538.0,False
2,45,0.77737,0.95845,0.97477,0.88186,0.7841,1.0000000000000002e-06,3597.9,False
2,46,0.77608,0.95464,0.98752,0.87652,0.77763,1.0000000000000002e-06,3658.0,False
2,47,0.77748,0.95674,0.98294,0.87881,0.76734,1.0000000000000002e-06,3718.3,False
2,48,0.772,0.95788,0.99906,0.87348,0.78389,1.0000000000000002e-07,3778.1,False
2,49,0.77396,0.95655,0.99824,0.87119,0.77376,1.0000000000000002e-07,3838.5,False
2,50,0.76438,0.96207,0.99227,0.87729,0.78509,1.0000000000000002e-07,3898.4,False
2,51,0.76557,0.9596,0.98598,0.88034,0.79462,1.0000000000000002e-07,3958.6,True
2,52,0.77515,0.95674,0.9869,0.875,0.77995,1.0000000000000002e-07,4018.8,False
2,53,0.76619,0.96036,0.98731,0.87881,0.78557,1.0000000000000002e-07,4078.4,False
2,54,0.7707,0.95883,0.98272,0.87729,0.77948,1.0000000000000002e-07,4138.0,False
2,55,0.76187,0.96055,0.99977,0.87271,0.77705,1.0000000000000002e-07,4197.8,False
2,56,0.77158,0.95979,0.98588,0.87424,0.75887,1.0000000000000002e-07,4257.5,False
2,57,0.75909,0.96512,0.98259,0.87576,0.79258,1.0000000000000004e-08,4318.0,False
2,58,0.76522,0.95864,0.98793,0.875,0.79132,1.0000000000000004e-08,4377.9,False
2,59,0.76896,0.95826,0.9907,0.875,0.79142,1.0000000000000004e-08,4437.7,False
2,60,0.76763,0.95845,0.9871,0.875,0.77287,1.0000000000000004e-08,4497.7,False
2,61,0.77213,0.95655,0.99697,0.87271,0.76124,1.0000000000000004e-08,4557.4,False
2,62,0.76224,0.96036,0.98867,0.86814,0.75356,1.0000000000000004e-08,4617.1,False
2,63,0.76509,0.96074,0.99033,0.87348,0.7861,1.0000000000000004e-08,4677.4,False
2,64,0.76193,0.96131,0.9869,0.87805,0.77819,1.0000000000000004e-08,4737.1,False
2,65,0.7693,0.95636,0.99015,0.87348,0.77413,1.0000000000000004e-08,4797.0,False
2,66,0.77052,0.96036,0.9914,0.87119,0.77781,1.0000000000000004e-08,4856.7,False
2,67,0.76697,0.95617,0.98597,0.875,0.78391,1.0000000000000004e-08,4916.5,False
2,68,0.75489,0.96303,0.98481,0.87729,0.78383,1.0000000000000004e-08,4976.2,False
2,69,0.7666,0.95883,1.00193,0.87119,0.76023,1.0000000000000004e-08,5037.2,False
2,70,0.7628,0.95807,0.98577,0.87348,0.7737,1.0000000000000004e-08,5096.8,False
2,71,0.768,0.96036,0.99048,0.87271,0.78308,1.0000000000000004e-08,5156.5,False
2,72,0.75548,0.96493,0.98717,0.875,0.77751,1.0000000000000004e-08,5216.2,False
2,73,0.7688,0.95597,0.9867,0.87881,0.78638,1.0000000000000004e-08,5275.9,False
2,74,0.75967,0.96245,0.98513,0.88034,0.78167,1.0000000000000004e-08,5335.4,False
2,75,0.76615,0.96074,0.98405,0.87576,0.78411,1.0000000000000004e-08,5395.5,False
