augmentation,top1_accuracy,top3_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,n_errors,epochs_stage2_run,stopped_early
current,0.8548,0.9715,0.7728,0.7607,0.7564,0.8539,234,75,False
strong,0.8406,0.9746,0.7888,0.7465,0.7526,0.84,257,75,False
rare,0.8437,0.9733,0.7609,0.7661,0.7522,0.843,252,64,True
label_smooth,0.8536,0.9653,0.7795,0.7771,0.7631,0.8549,236,75,False
tta_8_views,0.8672,0.9777,0.8121,0.7759,0.7722,0.8656,214,0,False
cosine_anneal,0.8548,0.9702,0.7994,0.7751,0.7676,0.854,234,75,False
tta_cosine,0.8703,0.9746,0.8304,0.8061,0.7908,0.8688,209,0,False
