true,predicted,count,pct_of_true_class
fish,fishInGroups,19,3.53
coral,seaAnemone,18,5.17
coral,fish,12,3.45
fish,seaAnemone,8,1.49
fish,eel,7,1.3
seaAnemone,fish,7,3.17
seaAnemone,coral,7,3.17
coral,fishInGroups,6,1.72
fish,coral,5,0.93
fishInGroups,fish,4,5.56
fishInGroups,coral,4,5.56
coral,seaSlug,4,1.15
fish,rayfish,3,0.56
fish,seaSlug,3,0.56
coral,rayfish,3,0.86
coral,seaUrchin,3,0.86
flatworm,seaSlug,3,23.08
fish,turtle,2,0.37
octopus,fish,2,20.0
fish,starfish,2,0.37
fish,shark,2,0.37
coral,starfish,2,0.57
fish,marine_dolphin,2,0.37
coral,turtle,2,0.57
rayfish,fish,2,2.11
seaUrchin,seaAnemone,2,6.9
diver,marine_dolphin,1,7.69
crab,coral,1,9.09
eel,coral,1,2.44
eel,turtle,1,2.44
eel,fishInGroups,1,2.44
coral,eel,1,0.29
fish,diver,1,0.19
eel,fish,1,2.44
flatworm,fish,1,7.69
marine_dolphin,fishInGroups,1,10.0
rayfish,coral,1,1.05
marine_dolphin,shark,1,10.0
rayfish,seaAnemone,1,1.05
flatworm,seaCucumber,1,7.69
rayfish,marine_dolphin,1,1.05
seaAnemone,seaUrchin,1,0.45
seaCucumber,seaSlug,1,10.0
seaCucumber,flatworm,1,10.0
seaCucumber,starfish,1,10.0
seaSlug,seaCucumber,1,5.0
seaUrchin,starfish,1,3.45
shark,eel,1,5.26
shark,rayfish,1,5.26
shrimp,crab,1,9.09
squid,fish,1,10.0
squid,jellyfish,1,10.0
squid,octopus,1,10.0
starfish,seaSlug,1,2.5
turtle,coral,1,1.32
turtle,shark,1,1.32
