stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
1,1,3.2381,0.32895,1.41324,0.62576,0.53816,0.001,85.1,True
2,1,0.92252,0.75357,0.64137,0.81326,0.72978,1e-05,347.4,True
